AWND,WSF2,WSF5
4.3,8.1,10.3
5.7,9.8,12.5
8.9,13.4,17
9,16.1,21.5
6.2,10.7,14.3
5.6,11.2,13.9
2.7,5.8,7.2
6,11.2,13.4
6.4,10.3,13
7,11.6,15.7
6.9,10.7,17.4
4.9,7.2,13
5.6,9.8,12.5
6.4,13,16.5
6.5,11.2,13.9
3.1,6.3,7.6
3.3,8.1,10.7
4.1,9.4,12.5
3.6,9.4,10.7
3.7,8.1,10.3
3.8,7.2,8.9
4.7,9.4,14.3
3,8.1,10.7
4.3,8.9,11.2
4.4,8.9,10.7
3.3,8.1,11.2
3.1,7.6,9.4
6,8.9,11.2
3.8,10.7,14.8
5.1,10.3,13
5.2,10.7,13.9
4.7,11.6,16.1
4,7.6,9.8
9.7,17,21
4.7,11.6,16.1
6.9,12.5,16.5
4.8,13.4,17
1.5,4,5.8
8.3,17.4,22.8
2.8,5.8,7.6
3.8,8.1,9.8
5.5,11.6,16.5
4.5,11.2,15.7
6.6,11.6,13.9
7,12.5,15.7
5.5,9.8,11.6
9.2,13.9,17.9
7.8,14.8,19.7
2.1,8.9,10.7
7.5,13.4,17.4
6.7,12.5,16.1
7.8,12.5,16.1
7.2,12.5,17.4
5.8,9.8,11.6
3.6,6.7,7.6
3.2,6.3,7.2
5.8,12.5,15.7
3.6,7.6,9.4
3.1,5.8,7.6
4.8,10.3,12.5
2.1,6.7,8.9
1.2,3.1,4.5
2.7,5.8,6.7
2.2,6.3,7.6
7.5,14.3,17
7.2,11.6,15.7
6.4,10.3,13
4.5,7.6,9.4
4.4,7.6,10.3
3.5,7.2,8.9
4,8.9,11.6
3.7,10.3,13.9
5.6,9.4,11.2
5.9,11.2,13.9
5.9,11.6,14.8
3.6,9.4,10.3
1.8,6.3,7.6
2.6,9.4,11.2
6.4,13,17
5.9,10.7,14.3
6.1,13.4,16.1
5,9.4,13
4.3,8.1,11.2
1.9,7.6,9.4
6.2,9.8,11.2
2,6.3,7.2
2.6,7.2,8.1
2,4.5,5.8
4.3,7.6,9.4
7.7,14.3,17.9
2.9,7.2,9.8
5.6,12.5,16.1
